Characters,Phrase,Movie,Year
Harry Potter,"I’ll be in my bedroom, making no noise and pretending I’m not there.",Harry Potter and the Chamber of Secrets,2002
Harry Potter,I solemnly swear I am up to no good.,Harry Potter and the Prisoner of Azkaban,2004
Harry Potter,Mischief Managed!,Harry Potter and the Prisoner of Azkaban,2004
Harry Potter,"There is no need to call me ‘sir,’ Professor.",Harry Potter and the Half-Blood Prince,2009
Hermione Gringer,"Twitchy little ferret, aren’t you, Malfoy?",Harry Potter and the Goblet of Fire,2005
Hermione Gringer,Fear of a name only increases fear of the thing itself.,Harry Potter and the Chamber of Secrets,2002
Hermione Gringer,Just because you have the emotional range of a teaspoon doesn't mean we all have.,Harry Potter and the Order of the Phoenix,2007
Ron Weasley,"You're a little scary sometimes, you know that? Brilliant ... but scary.",Harry Potter and the Philosopher's Stone,2001
Ron Weasley,"When in doubt, go to the library.",Harry Potter and the Chamber of Secrets,2002
Ron Weasley,Don’t let the muggles get you down.,Harry Potter and the Prisoner of Azkaban,2004
Ron Weasley,Accio Brain!,Harry Potter and the Order of the Phoenix,2007
Albus Dumbledore,It does not do well to dwell on dreams and forget to live.,Harry Potter and the Philosopher's Stone,2001
Albus Dumbledore,"We are only as strong as we are united, as weak as we are divided.",Harry Potter and the Goblet of Fire,2005
Albus Dumbledore,Age is foolish and forgetful when it underestimates youth.,Harry Potter and the Half-Blood Prince,2009
Minerva McGonagall,I've always wanted to use that spell.,Harry Potter and the Deathly Hallows - Part 2,2011
Minerva McGonagall,"Don’t tell me what I can and can’t do, Potter.",Harry Potter and the Philosopher's Stone,2001
Minerva McGonagall,"We teachers are rather good at magic, you know.",Harry Potter and the Deathly Hallows - Part 1,2010
Severus Snape,There will be no foolish wand-waving or silly incantations in this class.,Harry Potter and the Philosopher's Stone,2001
Severus Snape,"Mr Potter, our new celebrity.",Harry Potter and the Philosopher's Stone,2001
Severus Snape,"Clearly fame isn't everything, is it, Mr. Potter?",Harry Potter and the Philosopher's Stone,2001
Severus Snape,You see what you expect to see.,Harry Potter and the Deathly Hallows - Part 1,2010
Severus Snape,Look at me…. You have your mother’s eyes.,Harry Potter and the Deathly Hallows - Part 2,2011
Rubeus Hagrid,You are a wizard Harry.,Harry Potter and the Philosopher's Stone,2001
Rubeus Hagrid,"Dry Up Dursley, You Big Prune",Harry Potter and the Philosopher's Stone,2001
Rubeus Hagrid,"Don't You Think On It Hermione, Don't You Think On It For One Minute",Harry Potter and the Chamber of Secrets,2002
Draco Malfoy,"Scared, Potter?",Harry Potter and the Chamber of Secrets,2002
Draco Malfoy,This class is ridiculous...,Harry Potter and the Prisoner of Azkaban,2004
Draco Malfoy,My father will hear about this!,Harry Potter and the Deathly Hallows - Part 1,2010
Dobby,Dobby is...free.,Harry Potter and the Deathly Hallows - Part 1,2010
Dobby,Bad Dobby! Bad Dobby!,Harry Potter and the Chamber of Secrets,2002
Dobby,You shall not harm Harry Potter!,Harry Potter and the Chamber of Secrets,2002
Voldemort,There is no good and evil. There is only power... and those too weak to seek it.,Harry Potter and the Philosopher's Stone,2001
Voldemort,"Harry Potter, the Boy who Lived... come to die. Avada Kedavra!",Harry Potter and the Deathly Hallows - Part 2,2011
Voldemort,"Don't you turn your back on me, Harry Potter! I want you to look at me when I kill you! I want to see the light leave your eyes!",Harry Potter and the Goblet of Fire,2005